列1,列2,列3,列4,列5,列6,列7,列8,列9
Understanding the Visual World Through Naturally Supervised Code,Jiajun Wu Stanford University,2023-04-20 16:00-2023-04-20 17:00,FIT 1-315,清华大学,https://iiis.tsinghua.edu.cn/show-10372-1.html,2023-04-20 16:00-2023-04-20 17:00,"The visual world has its inherent structure: scenes are made of multiple identical objects; different objects may have the same color or material, with a regular layout; each object can be symmetric and have repetitive parts. How can we infer, represent, and use such structure from raw data, without hampering the expressiveness of neural networks? In this talk, I will demonstrate that such structure, or code, can be learned from natural supervision. Here, natural supervision can be from pixels, where neuro-symbolic methods automatically discover repetitive parts and objects for scene synthesis. It can also be from objects, where humans during fabrication introduce priors that can be leveraged by machines to infer regular intrinsics such as texture and material. When solving these problems, structured representations and neural nets play complementary roles: it is more data-efficient to learn with structured representations, and they generalize better to new scenarios with robustly captured high-level information; neural nets effectively extract complex, low-level features from cluttered and noisy visual data.","Jiajun Wu is an Assistant Professor of Computer Science at Stanford University, working on computer vision, machine learning, and computational cognitive science. Before joining Stanford, he was a Visiting Faculty Researcher at Google Research. He received his PhD in Electrical Engineering and Computer Science from the Massachusetts Institute of Technology. Wu's research has been recognized through the AFOSR Young Investigator Research Program (YIP), the ACM Doctoral Dissertation Award Honorable Mention, the AAAI/ACM SIGAI Doctoral Dissertation Award, the MIT George M. Sprowls PhD Thesis Award in Artificial Intelligence and Decision-Making, the 2020 Samsung AI Researcher of the Year, the IROS Best Paper Award on Cognitive Robotics, and faculty research awards from JPMC, Samsung, Amazon, and Meta."
A Peek into Learning Dexterous Manipulation Skills,Tao Chen MIT CSAIL,2023-04-20 10:00-2023-04-20 11:00,C19-1 or Online: https://us06web.zoom.us/j/85822472330?pwd=VU1DTE1wek0zWHlOMlpaQko1dXNnZz09,清华大学,https://iiis.tsinghua.edu.cn/show-10373-1.html,2023-04-20 10:00-2023-04-20 11:00,"In recent years, there has been significant progress in robotics grasping, with many techniques being commercialized and utilized in factories and warehouses. However, comparatively, dexterous manipulation research has received much less attention due to its complexities in control, sensing, hardware design, etc. In this talk, I will share our initial effort in developing a learning pipeline that efficiently learns generalizable contact-rich skills from raw sensory data using a low-cost hardware system costing less than $5000. Our system has achieved zero-shot sim-to-real transfer on dynamic and contact-rich tasks (in-hand object reorientation), and is capable of reorienting hundreds of geometrically distinct objects.","Tao Chen is a Ph.D. student at MIT CSAIL, advised by Prof. Pulkit Agrawal. His research interests include all aspects of robot learning, with a recent focus on dexterous manipulation. His work on in-hand object reorientation won the best paper award at CoRL 2021."
Learning Dexterous Manipulation from Human,Yuzhe Qin University of California,2023-04-19 16:00-2023-04-19 17:00,C19-2 or 腾讯会议：https://meeting.tencent.com/dm/4PL7WZy1BQ5V,清华大学,https://iiis.tsinghua.edu.cn/show-10369-1.html,2023-04-19 16:00-2023-04-19 17:00,"Dexterous manipulation using multi-fingered hands poses significant challenges in robotics. The intricate contact behavior is difficult to model, limiting the efficacy of model-based approaches. Additionally, the high degree of freedom (DoF) actuation and discontinuous interaction patterns increase the sample complexity for training model-free policies. However, the human hand's similar morphology presents a unique opportunity to learn from human demonstrations. How and where can we collect human demonstration data? What learning paradigm can we use to acquire robot manipulation skills from human data? In what aspects can human demonstrations benefit dexterous manipulation? This talk will introduce several of our works that are advancing the frontier of this research area.","Yuzhe Qin is a third-year Ph.D. student at the University of California, San Diego, co-advised by Prof. Hao Su and Prof. Xiaolong Wang, and has previous experience interning at the NVIDIA Seattle Robotics Lab and Google Robotics. He obtains a bachelor's degree from the Department of Mechanical Engineering at Shanghai Jiao Tong University. His research centers on the development of robots capable of learning manipulation through interactions."
Machine Learning for 3D Content Cretion,Jun Gao University of Toronto,2023-04-18 16:00-2023-04-18 18:00,C19-2 or 腾讯会议：https://meeting.tencent.com/dm/8ox32Vj3YvX7,清华大学,https://iiis.tsinghua.edu.cn/show-10368-1.html,2023-04-18 16:00-2023-04-18 18:00,"With the increasing demand for creating large-scale 3D virtual worlds in many industries, there is an immense need for diverse and high-quality 3D content. Machine learning is existentially enabling this quest. In this talk, I will discuss how looking from the perspective of combining differentiable iso-surfacing with differentiable rendering could enable 3D content creation at scale and make a real-world impact. Towards this end, we first introduce a differentiable 3D representation based on a tetrahedral grid to enable high-quality recovery of 3D mesh with arbitrary topology. By incorporating differentiable rendering, we further design a generative model capable of producing 3D shapes with complex textures and materials for mesh generation. Our framework further paves the way for innovative high-quality 3D mesh creation from text prompt leveraging 2D diffusion models, which democratizes 3D content creation for novice users.","Jun Gao is a PhD student at the University of Toronto advised by Prof. Sanja Fidler. He also holds the position of Research Scientist at NVIDIA Toronto AI lab. His research interests focus on the intersection of 3D computer vision and computer graphics, particularly developing machine learning tools to facilitate large-scale 3D content creation and drive real-world applications. His work has been presented at prestigious conferences such as NeurIPS, CVPR, ICCV, ECCV, ICLR and SIGGRAPH. Many of his contributions have been implemented in products, including NVIDIA Picasso, GANVerse3D, Neural DriveSim and Toronto Annotation Suite. He will serve as an Area Chair at NeurIPS 2023."
Fast and Accurate PDE Solvers via Neural Fields,Yichen Chen MIT CSAIL,2023-04-17 16:00-2023-04-17 17:00,C19-2 or 腾讯会议：203-746-249,清华大学,https://iiis.tsinghua.edu.cn/show-10366-1.html,2023-04-17 16:00-2023-04-17 17:00,"Numerically solving partial differential equations (PDEs) often entails spatial discretizations. Traditional methods (e.g., finite difference, finite element, smoothed-particle hydrodynamics) adopt spatial discretizations, such as grids, meshes, and point clouds. While intuitive to model and understand, these discretizations suffer from (1) long runtime for large-scale problems with many spatial degrees of freedom (DOFs); (2) discretization errors, such as dissipation (fluid) and inaccurate contact (solid). In this talk, we will discuss our two recent works leveraging implicit neural representations (also known as neural fields) to tackle traditional representations’ excessive runtime and discretization errors.
The first work accelerates PDE solvers using reduced-order modeling (ROM). Whereas prior ROM approaches reduce the dimensionality of discretized vector fields, our continuous reduced-order modeling (CROM) approach builds a low-dimensional manifold of the continuous vector fields themselves, not their discretization. Compared to prior discretization-dependent ROM methods (e.g., POD, PCA, autoencoders), CROM features higher accuracy (49-79x), lower memory consumption (39-132x), dynamically adaptive resolutions, and applicability to any discretization. Experiments demonstrate 109x and 89x wall-clock speedups over unreduced models on CPUs and GPUs.
The second work encodes spatial information through neural network weights and computes PDE time-stepping with optimization time integrators. While slower to compute than traditional representations, our approach achieves higher accuracy under the same memory constraint and features adaptive allocation of DOFs without complex remeshing.","Peter Yichen Chen is a postdoctoral associate at MIT CSAIL, advised by Wojciech Matusik. He completed his CS PhD from Columbia, advised by Eitan Grinspun. Before that, he was a Sherwood-Prize-winning math undergrad from UCLA, working with Joey Teran. Peter's research centers around artificial intelligence (AI) and scientific computing. In particular, he focuses on building physics simulation frameworks with machine learning approaches."
Enhancing the Creative Process in Digital Prototyping,Zeyu Wang Hong Kong University of Science and Technology,2023-04-13 19:00-2023-04-13 20:00,C19-2 or 腾讯会议：398-077-2882,清华大学,https://iiis.tsinghua.edu.cn/show-10365-1.html,2023-04-13 19:00-2023-04-13 20:00,"Despite advances in computer-aided design (CAD) systems and video editing software, digital content creation for design, storytelling, and interactive experiences remains a challenging problem. This talk introduces a series of studies, techniques, and systems along three thrusts that engage creators more directly and enhance the user experience in authoring digital content.
First, we present a drawing dataset and spatiotemporal analysis that provide insight into how people draw by comparing tracing, freehand drawing, and computer-generated approximations. We found a high degree of similarity in stroke placement and types of strokes used over time, which informs methods for customized stroke treatment and emulating drawing processes. We also propose a deep learning-based technique for line drawing synthesis from animated 3D models, where our learned style space and optimization-based embedding enable the generation of line drawing animations while allowing interactive user control across frames.
Second, we demonstrate the importance of utilizing spatial context in the creative process in augmented reality (AR) through two tablet-based interfaces. DistanciAR enables designers to create site-specific AR experiences for remote environments using LiDAR capture and new authoring modes, such as Dollhouse and Peek. PointShopAR integrates point cloud capture and editing in a single AR workflow to help users quickly prototype design ideas in their spatial context. Our user studies show that LiDAR capture and the point cloud representation in these systems can make rapid AR prototyping more accessible and versatile.
Last, we introduce two procedural methods to generate time-based media for visual communication and storytelling. AniCode supports authoring and on-the-fly consumption of personalized animations in a network-free environment via a printed code. CHER-Ob generates video flythroughs for storytelling from annotated heterogeneous 2D and 3D data for cultural heritage. Our user studies show that these methods can benefit the video-oriented digital prototyping experience and facilitate the dissemination of creative and cultural ideas.","Zeyu Wang is an Assistant Professor of Computational Media and Arts (CMA) in the Information Hub at the Hong Kong University of Science and Technology (Guangzhou) and an Affiliate Assistant Professor in the Department of Computer Science and Engineering at the Hong Kong University of Science and Technology. He received a PhD from the Department of Computer Science at Yale University, advised by Profs. Julie Dorsey and Holly Rushmeier, and a BS from the School of Artificial Intelligence at Peking University, advised by Profs. Hongbin Zha and Katsushi Ikeuchi. He has been a research intern at Adobe, Google, and Microsoft.
He leads the Creative Intelligence and Synergy (CIS) Lab at HKUST(GZ) to study the intersection of Computer Graphics, Human-Computer Interaction, and Artificial Intelligence, with a focus on algorithms and systems for digital content creation. His current research topics include sketching, VR/AR/XR, generative techniques, and multimodal creativity, with applications in art, design, perception, and cultural heritage. His work has been recognized by an Adobe Research Fellowship, a Franke Interdisciplinary Research Fellowship, a Best Paper Award, and a Best Demo Honorable Mention Award. Personal Website: https://zachzeyuwang.github.io/"
Towards Autonomous Language Agents,Shunyu Yao Princeton University,2023-04-12 18:00-2023-04-12 19:30,C19-2 (Online：https://us06web.zoom.us/j/89924841514?pwd=WHQ0elp2eWp0YXRzbEJCaUt6YTN0Zz09),清华大学,https://iiis.tsinghua.edu.cn/show-10361-1.html,2023-04-12 18:00-2023-04-12 19:30,"Large language models have revolutionized natural language processing, but they are trained to write, not to act or make choices that interface with our world. This talk discusses two basic aspects for incorporating language models with the automacy of interacting with external environments, to learn beyond static corpora and accomplish goals beyond text generation. (1) Building environments to develop language agents. We present the WebShop benchmark, and show interaction with the Internet is more scalable than existing paradigms like games and dialog systems, and enables transfer to real-world tasks, e.g. shopping on amazon.com. (2) Adapting language models for interactive learning. We present ReAct, an idea to synergize reasoning and acting for language models, which achieve state-of-the-art few-shot results on multiple reasoning and sequential decision making problems, with reduced hallucinations and increased human alignment. We also present CALM, an idea to integrate language models with reinforcement learning agents to flexibly adapt to downstream tasks, while preserving pre-trained priors and avoiding language drift.","Shunyu Yao is a 4th year Phd student with Karthik Narasimhan at Princeton NLP Group, working at the intersection of language and reinforcement learning. Previously, he graduated from Yao Class at Tsinghua University, and spent time at MIT, Microsoft, IBM, and Google as interns."
"Sequential generalized measurements: Aysmptotics, typicality and emergent projective measurements",WenLong Ma Institute of Semiconductors Chinese Academy of Sciences,2023-04-07 14:00-2023-04-07 15:00,MMW-S327,清华大学,https://iiis.tsinghua.edu.cn/show-10363-1.html,2023-04-07 14:00-2023-04-07 15:00,"The relation between projective measurements and generalized quantum measurements is a fundamental problem in quantum physics, and clarifying this issue is also important to quantum technologies. While it has been intuitively known that projective measurements can be constructed from sequential generalized or weak measurements [1, 2], there is still lack of a proof of this hypothesis in general cases. Here we prove it from the perspective of quantum channels [3]. We show that projective measurements naturally arise from sequential generalized measurements in the asymptotic limit. Specifically, a selective projective measurement arises from a set of typical sequences of sequential generalized measurements. We provide an explicit scheme to construct projective measurements of a quantum system with sequential generalized quantum measurements. Remarkably, a single ancilla qubit is sufficient to mediate sequential generalized measurements for constructing arbitrary projective measurements of a generic system, which can have applications in readout, initialization, and feedback control of a quantum system. As an example, we present a protocol to measure the modular excitation numbers of a bosonic mode with an ancilla qubit, which are exactly the error syndromes of rotation-symmetric bosonic quantum error correction codes.
References:

Wen-Long Ma, Ping Wang, Weng-Hang Leong, Ren-Bao Liu*, Phys. Rev. A 98, 012117 (2018).
Gang-Qin Liu, Jian Xing, Wen-Long Ma, Ping Wang, Chang-Hao Li, Hoi Chun Po, Yu-Ran Zhang, Heng Fan, Ren-Bao Liu, Xinyu Pan*, Phys. Rev. Lett. 118, 150504 (2017).
Wen-Long Ma*, Shu-Shen Li, Ren-Bao Liu, Phys. Rev. A 107, 012217 (2023).","马稳龙，现为中国科学院半导体所研究员、博士生导师，中国科学院大学岗位教授。2015年在中科院半导体所获得博士学位，2015年2020年先后在香港中文大学、耶鲁大学和芝加哥大学从事博士后研究, 随后加入中科院半导体所超晶格国家重点实验室，并入选国家高层次人才引进计划青年项目。研究领域为固态量子信息理论，在量子退相干、量子控制、量子纠错和量子测量等领域取得了一系列创新成果，在包括PRL的PR系列, Nature Physics, Nature Communications等期刊上发表文章二十余篇。"
How AI techniques boost 3D Reconstruction in Industry,"Jingwei Huang Riemann Lab, 2012 Laboratories of Huawei",2023-03-28 16:00-2023-03-28 17:00,FIT 1-222 or Tencent Meeting：https://meeting.tencent.com/dw/Ve9l9UUgGj6J,清华大学,https://iiis.tsinghua.edu.cn/show-10352-1.html,2023-03-28 16:00-2023-03-28 17:00,"3D reconstruction is a fundamental problem for industry digitization. While this topic is researched for decades, several core challenges remain unsolvable when applying 3D reconstruction to industrial applications. With the recent development of AI algorithms, there are many new opportunities to push the technique forward to tackle these challenges. In this presentation, we aim to expose real-world challenges, discuss about how AI boosts our solutions, and propose potential directions for addressing these challenges. Specifically, we will introduce our solutions for Scan2CAD modeling and realistic appearance reconstruction.","Jingwei Huang is a research scientist and project leader at Riemann Lab, 2012 Laboratories of Huawei. Before that, he received a Ph.D. in Computer Science (2020) from Stanford University, USA. His research interests lie at the interface of 3D computer vision, computer graphics, and geometry processing. His passion is harnessing the power of modern deep learning and traditional geometry processing algorithms to automate 3D holistic reconstruction of the large-scale real environment."
双层扭转光晶格中的原子玻色爱因斯坦凝聚,Jing Zhang ShanXi University,2023-03-24 14:00-2023-03-24 15:00,MMW S327,清华大学,https://iiis.tsinghua.edu.cn/show-10354-1.html,2023-03-24 14:00-2023-03-24 15:00,"在凝聚态物理领域，扭曲的双层石墨烯材料中已观察到强关联和超导性，诞生了一个全新的研究领域：扭转电子学，激发了对其基础和应用物理方面的极大兴趣。在该系统中，两个单层蜂窝状石墨烯材料以小角度扭曲叠加，会产生莫尔条纹，从而产生平坦电子能带、慢电子速度和高的态密度等独特特性。本工作是在一个超冷原子量子模拟平台上实现和研究了扭曲双层方型晶格中的超流体，该工作基于自旋依赖光学晶格中的玻色-爱因斯坦凝聚，每个自旋态的原子只感受到一组晶格，层间耦合可以通过自旋态之间的微波耦合来控制。此外，还直接观察到实空间的莫尔条纹和动量空间的衍射，证实了双层晶格中存在原子超流体。该系统集成扭转双层结构、可调的莫尔超晶格和层间耦合强度以及纯净的环境等特性，通过这一强大的超冷原子量子模拟平台，可将用于模拟扭曲双层石墨烯，研究其强关联和超导电性的基础物理。在这一新体系中，进一步可以通过丰富的调控手段如光晶格的结构、玻色费米混合系统、高轨道的自由度等来深入研究平带以及超导特性等诸多科学问题，以及探索其它难以在材料中实现的新奇量子现象。
Reference: Zengming Meng, Liangwei Wang, Wei Han, Fangde Liu, Kai Wen, Chao Gao, Pengjun Wang, Cheng Chin, Jing Zhang ""Atomic Bose-Einstein condensate in a twisted-bilayer optical lattice “Nature 615, 231 (2023))。",张靖，男，1974年1月生，山西大学光电所所长和量子光学与光量子器件国家重点实验室主任，国家杰出青年基金获得者、长江学者特聘教授、国家重点研发计划项目首席科学家、国家基金委创新群体带头人、国家杰出专业技术人才、美国光学学会会士（OSA Fellow）、美国物理学会会士（APS Fellow）。在连续变量量子信息和量子气体领域，特别是在自旋-轨道耦合简并费米气体中做出系列有国际影响的研究工作。主持的基于超冷费米气体的量子调控获2020年度国家自然科学奖二等奖。入选第二届“科学探索奖”，荣获“全国五一劳动奖章”称号， “全省优秀共产党员”荣誉称号。
Architecture and parameter optimization for quantum algorithms,Shi-Xin Zhang Tencent Quantum Lab,2023-03-23 19:15-2023-03-23 20:15,MMW S727 or Tencent Meeting：482-723-802 password: 1984,清华大学,https://iiis.tsinghua.edu.cn/show-10357-1.html,2023-03-23 19:15-2023-03-23 20:15,"In the noisy intermediate-scale quantum era (NISQ), we are likely to achieve practical quantum advantage using near-term programmable quantum hardware. We focus on the variational quantum algorithm paradigm and make progress in circuit structure design automation and circuit parameter optimization. In this talk, I will discuss how to design quantum circuit structures by various quantum architecture search methods and how to accelerate variational quantum algorithms training by novel optimization strategies. Besides, I will also introduce the high-performance quantum software framework for the NISQ era – TensorCircuit, which supports these research works by efficient numerical simulation and powerful quantum hardware connection. These works together pave the way to better understanding and investigating the power of NISQ devices.","Shi-Xin Zhang is currently a senior research scientist at Tencent Quantum Lab. He obtained his PhD in physics from Institute for Advanced Study, Tsinghua University, in 2021, supervised by Prof. Hong Yao. He graduated with an outstanding PhD and outstanding thesis award at Tsinghua University. Before this, he obtained his bachelor’s degree in physics from the Department of Physics at Tsinghua University in 2016. His main research interests include quantum algorithm design, quantum non-equilibrium physics, quantum simulation, quantum software, and machine learning application in quantum physics."
Differentiating Imaging Systems for Boosting 3D Perception,Wenzheng Chen University of Toronto,2023-05-09 16:00-2023-05-09 17:00,C19-2 or 腾讯会议：https://meeting.tencent.com/dm/pf1RylREXVgw,清华大学,https://iiis.tsinghua.edu.cn/show-10390-1.html,2023-05-09 16:00-2023-05-09 17:00,"The ability to infer 3D properties, such as geometry, texture, material, and light from 2D photographs is one of the most fundamental problems in computer vision and plays a key in many domains such as AR/VR, robotics, autonomous driving, and Metaverse. To tackle this problem, various imaging systems and reconstruction algorithms are proposed. As a two-stage procedure, 3D perception consists of “imaging” and “reconstruction”, wherein the former involves the use of devices to measure the scene and acquire the measurement, such as photographs, while the latter applies reconstruction algorithms on the measurement to recover 3D properties. While previous methods focus more on reconstruction algorithms and ignore the knowledge in the imaging stage, in this talk, we show how to develop a holistic method to connect ‘‘imaging‘’ and ‘’reconstruction‘’ together, utilizing the information from both sides. Specifically, we propose to model various imaging systems in a differentiable way and connect them with the reconstruction algorithms, such that the information (e.g., gradients) can be freely propagated bidirectionally. Such a connection boosts 3D perception in 2 directions: “learning for imaging‘’ and “imaging for learning“. The former passes the information of imaging systems to the reconstruction algorithms, which helps design the algorithms that perfectly match the chosen imaging systems. The latter propagates the information from reconstruction algorithms to imaging systems, helping explore the best settings they should adopt under specific algorithms. We demonstrate that the proposed method brings huge improvement and successfully pushes the boundary of 3D perception.","Wenzheng Chen is a final-year Ph.D. student at University of Toronto, supervised by Prof. Sanja Fidler and Prof. Kyros Kutulakos. He is also a research scientist at NVIDIA. His research mainly focuses on the intersection of computational photography and machine learning, with a special interest in estimating 3D properties from various imaging systems. His long-term research goal is to explore all kinds of optical and physical rules in the imaging systems and combine them with deep learning to boost 3D perception. He will join PKU as an assistant professor in 2024. For more information, please visit http://www.cs.toronto.edu/~wenzheng/."
